sample_id,sample_date,no3_n,k,mg,ca,nh4_n
MPR,1989-05-16,69,0.77,1.92,6.15,NA
MPR,1989-05-23,69,0.72,2.41,7.17,NA
MPR,1989-05-30,79,0.7,1.6,5.19,NA
MPR,1989-06-06,85,0.59,1.69,6.6,NA
MPR,1989-06-13,70,0.65,2.06,6.66,NA
MPR,1989-06-20,71,0.66,1.98,7.64,NA
MPR,1989-06-27,NA,0.7,3.31,7.83,NA
MPR,1989-07-05,10,0.62,0.82,3.17,NA
MPR,1989-07-11,24,0.76,1.85,7.94,NA
MPR,1989-07-26,10,0.69,1.5,6.95,NA
MPR,1989-08-01,90,0.73,1.66,7.08,NA
MPR,1989-08-08,183,0.7,1.85,7.4,NA
MPR,1989-08-15,41,0.74,1.87,7.43,NA
MPR,1989-08-22,114,0.61,1.17,5,NA
MPR,1989-08-29,29,0.56,NA,4.3,NA
MPR,1989-09-12,49,0.6,1.42,5.61,NA
MPR,1989-10-03,80,1.01,2.84,4.16,NA
MPR,1989-10-10,71,1.01,2.19,7.94,NA
MPR,1989-10-24,247,1.17,2.23,8.19,NA
MPR,1989-11-07,614,1.6,1.79,6.9,NA
MPR,1989-11-14,357,1.26,1.92,7.34,NA
MPR,1989-11-21,212,NA,NA,NA,NA
MPR,1989-11-28,170,0.91,2.45,10.08,NA
MPR,1989-12-05,10,0.84,2.58,10.72,NA
MPR,1989-12-12,6,0.44,3.62,4.12,NA
MPR,1989-12-19,NA,0.31,NA,NA,NA
MPR,1989-12-26,179,0.81,2.69,11.82,NA
MPR,1990-01-02,NA,1.74,1.8,6.25,NA
MPR,1990-01-09,113,1.01,2.52,10.82,NA
MPR,1990-01-16,99,1,2.35,10.72,NA
MPR,1990-01-23,24,1.04,2.14,8.7,NA
MPR,1990-01-30,335,0.98,2.11,9.27,NA
MPR,1990-02-06,215,1.04,2.33,10.95,NA
MPR,1990-02-13,308,1.18,2.35,9.39,NA
MPR,1990-02-20,32,1.18,2.2,9.05,NA
MPR,1990-02-27,250,1.02,2.18,NA,NA
MPR,1990-03-06,160,1.06,2.44,9.99,NA
MPR,1990-03-13,333,1.17,1,3.84,NA
MPR,1990-03-20,226,0.95,2.21,8.49,NA
MPR,1990-03-27,336,1.19,1.62,5.46,NA
MPR,1990-04-03,123,0.93,2.15,8.32,NA
MPR,1990-04-10,124,1,2.42,10.45,NA
MPR,1990-04-17,130,0.99,2.16,9.07,NA
MPR,1990-04-24,10,0.99,2.41,10.48,NA
MPR,1990-05-01,183,1.01,2.14,8.95,NA
MPR,1990-05-08,17,1.01,2.44,10.49,NA
MPR,1990-05-15,250,0.95,1.7,8.31,NA
MPR,1990-05-22,117,1,2.33,10.22,NA
MPR,1990-05-29,217,1.07,2.12,9.24,NA
MPR,1990-06-05,212,1.01,2.03,8.75,NA
MPR,1990-06-12,213,1,2.11,9.06,NA
MPR,1990-06-19,184,0.94,2.12,8.42,NA
MPR,1990-06-26,237,0.87,1.58,6.25,NA
MPR,1990-07-03,129,0.95,2.42,10.04,NA
MPR,1990-07-10,153,0.91,2.35,9.93,NA
MPR,1990-07-17,10,0.86,2.16,9.08,NA
MPR,1990-07-24,328,0.98,1.13,4.31,NA
MPR,1990-07-31,115,0.85,2.42,10.87,NA
MPR,1990-08-07,101,0.89,2.76,11.45,NA
MPR,1990-08-14,339,0.83,1.15,6.78,NA
MPR,1990-08-21,127,0.85,2.35,10.15,NA
MPR,1990-08-28,85,0.85,2.17,10.11,NA
MPR,1990-09-04,112,0.85,2.12,9.01,NA
MPR,1990-09-11,67,0.86,2.23,10.02,NA
MPR,1990-09-18,129,0.83,1.78,8.39,NA
MPR,1990-09-25,112,0.86,2.3,9.94,NA
MPR,1990-10-02,88,0.76,2.09,8.94,NA
MPR,1990-10-09,119,0.87,1.95,8.3,NA
MPR,1990-10-16,138,0.78,2.17,8.05,NA
MPR,1990-10-23,170,0.78,1.95,8,NA
MPR,1990-10-30,133,0.71,1.36,4.39,NA
MPR,1990-11-06,7,0.76,1.81,6.96,NA
MPR,1990-11-13,NA,0.77,2.36,8.43,NA
MPR,1990-11-20,171,0.78,2.33,9.45,NA
MPR,1990-11-27,183,0.72,1.87,8.49,NA
MPR,1990-12-04,216,0.7,0.36,0.21,NA
MPR,1990-12-11,89,0.62,2.26,9.73,NA
MPR,1990-12-18,165,0.56,2.14,9.49,NA
MPR,1990-12-25,110,0.75,3.36,10.45,NA
MPR,1990-12-31,158,0.88,1.18,4.72,NA
MPR,1991-01-08,127,0.77,1.96,9.05,NA
MPR,1991-01-15,NA,0.59,2.09,8.5,NA
MPR,1991-01-22,123,0.35,3.34,5.02,NA
MPR,1991-01-29,106,0.66,2.34,5.24,NA
MPR,1991-02-05,234,0.66,1.58,6.49,NA
MPR,1991-02-12,63,0.74,2.31,9.52,NA
MPR,1991-02-19,219,0.62,1.36,5.63,NA
MPR,1991-02-26,32,0.65,2.05,7.68,NA
MPR,1991-03-05,NA,0.6,2.09,8.65,NA
MPR,1991-03-12,114,2.7,2.18,9.9,NA
MPR,1991-03-19,164,0.76,1.62,6.9,NA
MPR,1991-03-26,133,0.63,2.14,NA,NA
MPR,1991-04-02,14,0.67,2.23,4.58,NA
MPR,1991-04-15,29,0.75,1.13,4.31,NA
MPR,1991-04-23,70,0.85,1.33,4,NA
MPR,1991-04-30,55,0.83,1.13,4.31,NA
MPR,1991-05-07,32,0.66,0.84,5.02,NA
MPR,1991-05-14,75,0.73,0.84,5.09,NA
MPR,1991-05-21,45,0.73,NA,NA,NA
MPR,1991-05-28,10,NA,0.36,NA,NA
MPR,1991-06-04,86,0.84,0.87,5.08,NA
MPR,1991-06-11,68,NA,0.45,NA,NA
MPR,1991-06-18,54,NA,NA,NA,NA
MPR,1991-06-25,6,0.79,0.87,5.14,NA
MPR,1991-07-02,138,0.75,0.8,5.31,NA
MPR,1991-07-09,135,0.79,0.91,5.06,NA
MPR,1991-07-16,25,1.02,2.23,4.58,NA
MPR,1991-07-23,10,0.67,2.23,4.58,NA
MPR,1991-07-30,10,0.64,2.44,4.26,NA
MPR,1991-08-06,79,0.75,3,10.24,NA
MPR,1991-08-13,NA,0.78,3.27,10.91,NA
MPR,1991-08-20,NA,0.71,2.9,11.19,NA
MPR,1991-08-27,109,1.08,2.97,8.74,NA
MPR,1991-09-03,15,0.89,2.19,7.95,NA
MPR,1991-09-10,56,1.09,2.74,11.21,NA
MPR,1991-09-17,86,0.79,2.39,8.31,NA
MPR,1991-09-24,94,0.67,2.91,11.02,NA
MPR,1991-10-01,122,0.77,1.9,6.18,NA
MPR,1991-10-08,81,0.79,2.22,8.04,NA
MPR,1991-10-15,285,0.76,2.07,7.26,NA
MPR,1991-10-22,104,0.76,2.3,7.33,NA
MPR,1991-10-29,107,NA,NA,NA,NA
MPR,1991-11-05,100,0.26,0.55,1.53,NA
MPR,1991-11-12,196,0.83,2.22,7.1,NA
MPR,1991-11-18,27,0.92,2.62,8.78,NA
MPR,1991-11-26,114,0.83,2.23,6.72,NA
MPR,1991-12-03,10,0.67,1.77,6.48,NA
MPR,1991-12-10,127,0.74,2.04,7.07,NA
MPR,1991-12-17,128,0.23,0.46,0.35,NA
MPR,1991-12-23,143,0.68,2.22,9.57,NA
MPR,1991-12-30,99,0.71,2.3,10.13,NA
MPR,1992-01-07,196,1.03,1.54,6.67,NA
MPR,1992-01-14,149,0.71,1.85,8.11,NA
MPR,1992-01-21,109,0.79,2.26,9.51,NA
MPR,1992-01-28,94,0.77,2.16,9.06,NA
MPR,1992-02-04,179,0.88,2.04,9.2,NA
MPR,1992-02-11,56,0.9,2.52,10.78,NA
MPR,1992-02-18,35,0.95,2.76,11.37,NA
MPR,1992-02-25,205,0.9,2.02,15.31,NA
MPR,1992-03-03,201,0.82,1.96,15.81,NA
MPR,1992-03-10,109,1.67,2.33,11.05,NA
MPR,1992-03-17,112,0.92,2.23,8.29,NA
MPR,1992-03-24,NA,0.93,1.59,2.61,NA
MPR,1992-04-01,52,1.1,1.75,8.54,NA
MPR,1992-04-07,105,1.06,3.47,4.88,NA
MPR,1992-04-14,48,0.23,7.21,NA,NA
MPR,1992-04-21,27,0.64,2.2,8.43,NA
MPR,1992-04-28,54,1.11,2.54,9.9,NA
MPR,1992-05-05,100,0.73,1.73,8.18,NA
MPR,1992-05-12,28,0.86,1.97,8.19,NA
MPR,1992-05-19,97,0.93,2.21,9.37,NA
MPR,1992-05-26,NA,0.94,1.42,5.82,NA
MPR,1992-06-02,80,0.59,0.91,3.47,NA
MPR,1992-06-09,14,0.89,2.15,8.57,NA
MPR,1992-06-16,35,0.77,1.23,4.49,NA
MPR,1992-06-23,29,0.71,1.61,5.92,NA
MPR,1992-06-30,29,0.86,2.63,10.24,NA
MPR,1992-07-07,29,0.94,2.62,10.17,NA
MPR,1992-07-14,43,0.84,2.57,10,NA
MPR,1992-07-21,43,0.74,1.94,7.21,NA
MPR,1992-07-28,41,0.83,1.99,8.38,NA
MPR,1992-08-04,12,0.8,2.17,8.43,NA
MPR,1992-08-11,47,0.56,1,4.01,NA
MPR,1992-08-18,70,0.69,2.27,8.96,NA
MPR,1992-08-25,79,0.88,2.23,9.1,NA
MPR,1992-09-01,68,1.12,3.14,11.62,NA
MPR,1992-09-08,10,0.89,2.69,10.03,NA
MPR,1992-09-15,11,1.16,2.32,9.85,NA
MPR,1992-09-22,21,0.66,1.72,6.96,NA
MPR,1992-09-29,89,0.7,2.02,8.6,NA
MPR,1992-10-06,164,0.75,2.43,9.92,NA
MPR,1992-10-13,24,0.75,2.59,11.18,NA
MPR,1992-10-20,7,0.71,2.37,9.45,NA
MPR,1992-10-27,24,1.36,3.09,13.78,NA
MPR,1992-11-03,53,0.54,1.35,6.32,NA
MPR,1992-11-10,66,0.54,1,3.59,NA
MPR,1992-11-17,22,0.6,1.76,6.54,NA
MPR,1992-11-24,NA,0.67,1.62,6.2,NA
MPR,1992-12-01,37,0.94,1.91,7.38,NA
MPR,1992-12-08,19,0.65,1.99,8.04,NA
MPR,1992-12-15,14,0.35,1.45,7.31,NA
MPR,1992-12-22,NA,NA,NA,NA,NA
MPR,1992-12-29,NA,0.67,1.7,6.87,NA
MPR,1993-01-05,NA,0.76,1.9,7.55,NA
MPR,1993-01-12,NA,0.82,2.06,7.87,NA
MPR,1993-01-19,NA,0.59,2.06,7.93,NA
MPR,1993-01-26,NA,0.75,2.02,7.79,NA
MPR,1993-02-02,NA,0.78,1.97,7.66,NA
MPR,1993-02-09,NA,0.75,2.22,9.21,NA
MPR,1993-02-16,NA,0.53,1.25,5.59,NA
MPR,1993-02-23,NA,0.88,2.09,7.5,NA
MPR,1993-03-02,78,0.64,2.26,9.12,NA
MPR,1993-03-09,76,0.91,2.32,9.09,NA
MPR,1993-03-16,99,0.78,2.32,8.53,NA
MPR,1993-03-23,46,0.8,2.46,9.72,NA
MPR,1993-03-30,132,0.71,2.39,8.79,NA
MPR,1993-04-06,119,0.85,2.46,10.02,NA
MPR,1993-04-13,57,0.82,2.46,10.68,NA
MPR,1993-04-20,72,0.96,2.31,9.75,NA
MPR,1993-04-27,53,0.78,2.36,8.13,NA
MPR,1993-05-04,68,1.07,1.67,6.55,NA
MPR,1993-05-11,25,0.68,1.52,5.78,NA
MPR,1993-05-18,75,0.81,2.04,8.04,NA
MPR,1993-05-25,11,0.87,1.68,6.8,NA
MPR,1993-06-01,NA,0.74,1.74,6.9,NA
MPR,1993-06-08,56,0.83,2.34,9.04,NA
MPR,1993-06-15,NA,NA,NA,NA,NA
MPR,1993-06-15,17,0.72,1.77,7.26,NA
MPR,1993-06-22,NA,1.01,1.89,7.22,NA
MPR,1993-06-29,NA,0.97,3.29,14.36,NA
MPR,1993-07-06,148,0.64,2.19,8.71,NA
MPR,1993-07-13,NA,0.64,1.88,7.99,NA
MPR,1993-07-20,NA,0.76,2.14,8.47,NA
MPR,1993-07-27,NA,0.7,0.93,7.45,NA
MPR,1993-08-03,6,0.69,2.34,9.46,NA
MPR,1993-08-10,NA,NA,NA,NA,NA
MPR,1993-08-17,40,0.98,2.42,9.77,NA
MPR,1993-08-24,58,0.97,2.7,10.85,NA
MPR,1993-08-31,NA,0.76,1.48,6,NA
MPR,1993-09-07,99,0.96,1.9,7.65,NA
MPR,1993-09-14,56,0.91,2.55,10.58,NA
MPR,1993-09-21,54,0.76,1.97,8.35,NA
MPR,1993-09-28,6,0.35,1.44,6.78,NA
MPR,1993-10-05,19,0.8,2.02,7.36,NA
MPR,1993-10-13,70,0.71,2.14,8.03,NA
MPR,1993-10-19,8,0.59,1.14,7.11,NA
MPR,1993-10-26,83,0.8,1.77,7.03,NA
MPR,1993-11-02,47,0.61,2.86,9.12,NA
MPR,1993-11-09,7,0.65,1.61,6.58,NA
MPR,1993-11-16,53,1.05,1.93,6.56,NA
MPR,1993-11-23,17,0.94,2.81,9.7,NA
MPR,1993-11-30,19,0.6,1.38,5.15,NA
MPR,1993-12-07,NA,0.54,2.22,8.14,NA
MPR,1993-12-14,52,0.7,2.35,9.98,NA
MPR,1993-12-21,25,0.64,1.29,5.59,NA
MPR,1993-12-28,NA,0.24,0.52,NA,NA
MPR,1994-01-04,NA,0.56,1.02,7.47,NA
MPR,1994-01-11,NA,0.12,0.18,0.21,NA
MPR,1994-01-18,NA,0.55,1.02,7.12,NA
MPR,1994-01-25,NA,0.59,2.17,8.87,NA
MPR,1994-02-01,5,0.56,1.96,7.52,NA
MPR,1994-02-08,9,0.69,1.95,7.54,NA
MPR,1994-02-15,NA,0.55,2.06,8.1,NA
MPR,1994-02-22,5,0.54,0.97,4,NA
MPR,1994-03-01,NA,0.74,2.08,8.55,NA
MPR,1994-03-08,NA,0.79,2.32,9.86,NA
MPR,1994-03-15,NA,0.72,2.41,10.44,NA
MPR,1994-03-22,9,0.81,2.56,11.28,NA
MPR,1994-03-29,NA,0.77,2.48,11.17,NA
MPR,1994-04-05,NA,0.83,2.63,12.21,NA
MPR,1994-04-12,NA,0.7,1.57,5.97,NA
MPR,1994-04-19,NA,0.61,1.88,8.26,NA
MPR,1994-04-26,19,0.74,2.4,10.82,NA
MPR,1994-05-03,27,0.77,2.59,11.6,NA
MPR,1994-05-10,19,0.6,1.32,5.12,NA
MPR,1994-05-17,18,1,1.61,6.88,NA
MPR,1994-05-24,19,0.82,2.31,10.3,NA
MPR,1994-05-31,29,1.2,3.34,11.44,NA
MPR,1994-06-07,12,0.8,2.18,8.58,NA
MPR,1994-06-14,15,0.97,2.55,10.15,NA
MPR,1994-06-21,14,0.84,2.56,10.04,NA
MPR,1994-06-28,NA,0.82,2.06,9.07,NA
MPR,1994-07-05,12,0.83,2.54,10.16,NA
MPR,1994-07-12,38,0.49,1.94,3.02,NA
MPR,1994-07-19,59,0.68,1.71,7.71,NA
MPR,1994-07-26,NA,1.1,2.43,12.08,NA
MPR,1994-08-02,NA,0.73,2.28,9.2,NA
MPR,1994-08-09,179,0.88,3.72,5.29,NA
MPR,1994-08-16,NA,0.77,2.18,11.23,NA
MPR,1994-08-23,NA,0.85,2.42,11.67,NA
MPR,1994-08-30,NA,1.03,3.25,11.65,NA
MPR,1994-09-06,NA,0.97,2.18,8.32,NA
MPR,1994-09-13,NA,0.79,2.33,9.85,NA
MPR,1994-09-20,NA,0.73,1.07,3.62,NA
MPR,1994-09-27,NA,1.02,2.03,10.54,NA
MPR,1994-10-04,NA,0.85,2.53,12.41,NA
MPR,1994-10-11,NA,0.74,1.84,8.15,NA
MPR,1994-10-18,NA,0.89,2.24,11.49,NA
MPR,1994-10-25,NA,0.65,1.63,6.89,NA
MPR,1994-11-01,NA,0.82,2.29,9.8,NA
MPR,1994-11-08,NA,0.63,1.36,5.86,NA
MPR,1994-11-15,NA,0.73,2.06,9.42,NA
MPR,1994-11-22,NA,0.55,1.39,6.05,NA
MPR,1994-11-29,80,0.89,2.29,6.94,NA
MPR,1994-12-06,6,0.92,2.95,6.41,NA
MPR,1994-12-13,NA,0.6,1.95,8.16,NA
MPR,1994-12-20,NA,0.67,2.22,10.04,NA
MPR,1994-12-27,NA,0.61,2.28,9.25,NA
Q1,1988-01-05,132,0.76,2.66,4.06,19
Q1,1988-01-12,134,0.77,2.61,4.08,18
Q1,1988-01-19,125,0.75,2.67,4.16,21
Q1,1988-01-26,123,0.74,2.85,4.41,14
Q1,1988-01-29,77,0.86,1.48,2.4,21
Q1,1988-01-29,81,0.83,1.35,2.06,31
Q1,1988-01-29,281,0.91,1.64,2.65,27
Q1,1988-01-29,267,0.84,1.41,2.63,24
Q1,1988-01-29,242,0.86,1.59,2.67,21
Q1,1988-02-02,138,0.76,1.71,2.78,80
Q1,1988-02-02,168,0.79,1.62,2.57,17
Q1,1988-02-03,NA,NA,NA,NA,NA
Q1,1988-02-04,NA,NA,NA,NA,NA
Q1,1988-02-09,149,0.8,2.73,4.09,54
Q1,1988-02-10,NA,NA,NA,NA,NA
Q1,1988-02-16,113,0.77,2.67,4.04,20
Q1,1988-02-23,152,0.85,2.94,4.39,28
Q1,1988-03-01,144,0.81,2.96,4.31,18
Q1,1988-03-08,144,0.5,2.12,3.89,25
Q1,1988-03-15,148,0.7,2.72,4.02,34
Q1,1988-03-23,144,0.73,2.76,4.05,13
Q1,1988-03-29,291,0.97,1.48,3.16,8
Q1,1988-03-29,283,1.13,1.47,3.22,7
Q1,1988-03-29,239,0.86,1.7,2.72,10
Q1,1988-03-29,291,1.07,1.09,1.31,20
Q1,1988-03-29,300,1.07,1.11,1.29,8
Q1,1988-03-29,261,1.17,1.49,3.7,13
Q1,1988-03-29,265,1.11,1.16,1.38,31
Q1,1988-03-29,252,1.06,1.19,1.34,16
Q1,1988-04-05,135,0.82,2.31,2.75,26
Q1,1988-04-12,141,0.71,2.77,4.22,34
Q1,1988-04-19,150,0.85,2.57,3.82,16
Q1,1988-04-26,142,0.74,2.87,4.3,28
Q1,1988-05-03,139,0.75,2.82,4.18,65
Q1,1988-05-10,142,1.19,2.24,3.6,69
Q1,1988-05-10,NA,NA,NA,NA,NA
Q1,1988-05-10,NA,NA,NA,NA,NA
Q1,1988-05-10,NA,NA,NA,NA,NA
Q1,1988-05-10,203,1.2,1.44,2.58,10
Q1,1988-05-17,148,NA,1.12,1.12,237
Q1,1988-05-24,149,0.75,1.2,1.34,63
Q1,1988-05-31,156,0.9,2.57,3.16,61
Q1,1988-06-07,147,0.8,2.91,3.58,59
Q1,1988-06-14,NA,0.79,2.85,3.53,68
Q1,1988-06-21,NA,0.81,1.95,2.66,158
Q1,1988-06-28,NA,0.71,2.71,4.87,NA
Q1,1988-07-05,NA,0.78,2.84,3.41,NA
Q1,1988-07-12,NA,NA,0.54,NA,NA
Q1,1988-07-19,NA,0.73,1.84,2.54,NA
Q1,1988-07-22,NA,0.82,2.47,3.2,NA
Q1,1988-07-26,NA,NA,NA,NA,NA
Q1,1988-07-26,NA,0.71,1.65,2.43,NA
Q1,1988-08-02,NA,0.73,2.9,3.48,NA
Q1,1988-08-09,NA,0.81,2.92,3.56,NA
Q1,1988-08-16,NA,0.84,2.85,3.49,16
Q1,1988-08-23,135,0.87,2.71,3.95,NA
Q1,1988-08-24,8,0.76,0.86,1.23,NA
Q1,1988-08-24,7,NA,NA,NA,NA
Q1,1988-08-24,NA,0.77,NA,1.79,NA
Q1,1988-08-24,11,0.48,0.47,0.75,NA
Q1,1988-08-24,10,0.9,0.79,1.32,NA
Q1,1988-08-30,150,0.78,2.62,3.29,NA
Q1,1988-09-06,120,0.69,2.76,3.9,15
Q1,1988-09-13,192,0.79,1.53,0.7,NA
Q1,1988-09-20,150,0.75,2.64,3.75,47
Q1,1988-09-27,149,0.71,2.66,4.21,NA
Q1,1988-10-04,43,0.73,2.09,3.05,59
Q1,1988-10-11,151,0.75,2.58,5.02,49
Q1,1988-10-18,154,NA,NA,NA,46
Q1,1988-10-25,146,0.88,2.56,3.97,NA
Q1,1988-11-01,143,0.86,2.72,4.28,NA
Q1,1988-11-07,137,0.87,2.73,4.34,NA
Q1,1988-11-15,130,0.99,2.68,4.22,NA
Q1,1988-11-22,139,0.86,2.31,3.82,NA
Q1,1988-11-29,139,0.82,2.8,4.2,NA
Q1,1988-12-06,139,0.82,2.5,4.24,NA
Q1,1988-12-13,149,1.05,2.65,4.23,NA
Q1,1988-12-20,156,0.93,2.75,4.26,NA
Q1,1988-12-27,156,0.93,2.68,4.15,NA
Q1,1989-01-03,NA,0.23,0.49,NA,NA
Q1,1989-01-10,221,0.97,2.49,4.09,NA
Q1,1989-01-17,10,0.99,2.73,4.43,NA
Q1,1989-01-24,155,0.96,2.79,4.4,NA
Q1,1989-01-31,171,0.99,2.87,4.48,NA
Q1,1989-02-07,176,0.95,2.78,4.5,NA
